Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx""), ""<script>alert(""hihiihi"")</script>"")",Chrome 114.0.0.0,,,2023-07-12 16:43:42,2023-07-12 16:43:43,0.769s,PASSED
"click(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/div_homeproductabout uscontact0Local specia_fa4591""))",Chrome 114.0.0.0,,,2023-07-12 16:43:43,2023-07-12 16:43:43,0.411s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:43:43,2023-07-12 16:43:48,5.017s,PASSED
"verifyElementText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/p_Invalid searching keyword""), ""Invalid searching keyword"")",Chrome 114.0.0.0,,,2023-07-12 16:43:48,2023-07-12 16:43:49,0.405s,PASSED
"setText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/input_Minhhonag_chakra-input css-1pdm0hx""), ""b"")",Chrome 114.0.0.0,,,2023-07-12 16:43:49,2023-07-12 16:43:49,0.719s,PASSED
delay(5),Chrome 114.0.0.0,,,2023-07-12 16:43:49,2023-07-12 16:43:54,5.019s,PASSED
"verifyElementText(findTestObject(""Object Repository/Searching1/Page_Vite  React  TS/p_Searching keyword should be more than 1 letter""), ""Searching keyword should be more than 1 letter"")",Chrome 114.0.0.0,,,2023-07-12 16:43:54,2023-07-12 16:43:55,0.377s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-12 16:43:55,2023-07-12 16:43:56,0.770s,PASSED
,,,,,,,
Test Cases/LC/Product detail,Chrome 114.0.0.0,,,2023-07-12 16:43:56,2023-07-12 16:45:18,1m - 22.694s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-12 16:43:56,2023-07-12 16:43:58,1.740s,PASSED
"navigateToUrl(""http://localhost:5173/"")",Chrome 114.0.0.0,,,2023-07-12 16:43:58,2023-07-12 16:43:59,1.058s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-12 16:43:59,2023-07-12 16:43:59,0.169s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/p_product""))",Chrome 114.0.0.0,,,2023-07-12 16:43:59,2023-07-12 16:43:59,0.521s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/button_22""))",Chrome 114.0.0.0,,,2023-07-12 16:43:59,2023-07-12 16:44:07,7.867s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/img_d_chakra-image css-lxd7e7""))",Chrome 114.0.0.0,,,2023-07-12 16:44:07,2023-07-12 16:44:12,4.885s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/div_Add to cart_swiper-button-next""))",Chrome 114.0.0.0,,,2023-07-12 16:44:12,2023-07-12 16:44:17,4.965s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/div_Add to cart_swiper-button-next""))",Chrome 114.0.0.0,,,2023-07-12 16:44:17,2023-07-12 16:44:19,2.022s,PASSED
"doubleClick(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/div_Add to cart_swiper-button-next""))",Chrome 114.0.0.0,,,2023-07-12 16:44:19,2023-07-12 16:44:22,3.102s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/div_Add to cart_swiper-button-next""))",Chrome 114.0.0.0,,,2023-07-12 16:44:22,2023-07-12 16:44:24,1.876s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/button_Add to cart""))",Chrome 114.0.0.0,,,2023-07-12 16:44:24,2023-07-12 16:44:26,2.058s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/div_You item already in shopping cart""), 0)",Chrome 114.0.0.0,,,2023-07-12 16:44:26,2023-07-12 16:44:28,1.906s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/div_Successfully""), 0)",Chrome 114.0.0.0,,,2023-07-12 16:44:28,2023-07-12 16:44:30,1.994s,PASSED
"setText(findTestObject(""productdetail/Page_Vite  React  TS/input_Add to cart_chakra-input css-108b1as""), ""1345678"")",Chrome 114.0.0.0,,,2023-07-12 16:44:30,2023-07-12 16:44:34,4.169s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/button_Buy now""))",Chrome 114.0.0.0,,,2023-07-12 16:44:34,2023-07-12 16:44:36,2.003s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/a_Gi ch bnh 29""))",Chrome 114.0.0.0,,,2023-07-12 16:44:36,2023-07-12 16:44:38,1.985s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/button_Reviews""))",Chrome 114.0.0.0,,,2023-07-12 16:44:38,2023-07-12 16:44:43,4.858s,PASSED
"click(findTestObject(""Object Repository/productdetail/Page_Vite  React  TS/p_product""))",Chrome 114.0.0.0,,,2023-07-12 16:44:43,2023-07-12 16:45:18,35.168s,FAILED
